"label","run_no","variant","execution_ms"
"N=1000 rel_unindexed",1,"S9_or_keys","0.313"
"N=1000 rel_unindexed",2,"S9_or_keys","0.245"
"N=1000 rel_unindexed",3,"S9_or_keys","0.304"
"N=1000 rel_unindexed",4,"S9_or_keys","0.292"
"N=1000 rel_unindexed",5,"S9_or_keys","0.242"
"N=1000 rel_unindexed",6,"S9_or_keys","0.244"
"N=1000 rel_unindexed",7,"S9_or_keys","0.241"
"N=1000 rel_unindexed",1,"S8_and3","0.201"
"N=1000 rel_unindexed",2,"S8_and3","0.204"
"N=1000 rel_unindexed",3,"S8_and3","0.201"
"N=1000 rel_unindexed",4,"S8_and3","0.272"
"N=1000 rel_unindexed",5,"S8_and3","0.314"
"N=1000 rel_unindexed",6,"S8_and3","0.237"
"N=1000 rel_unindexed",7,"S8_and3","0.296"
"N=1000 rel_unindexed",1,"S7_and2","0.266"
"N=1000 rel_unindexed",2,"S7_and2","0.202"
"N=1000 rel_unindexed",3,"S7_and2","0.262"
"N=1000 rel_unindexed",4,"S7_and2","0.200"
"N=1000 rel_unindexed",5,"S7_and2","0.200"
"N=1000 rel_unindexed",6,"S7_and2","0.273"
"N=1000 rel_unindexed",7,"S7_and2","0.201"
"N=1000 rel_unindexed",1,"S6_array_or","0.522"
"N=1000 rel_unindexed",2,"S6_array_or","0.464"
"N=1000 rel_unindexed",3,"S6_array_or","0.563"
"N=1000 rel_unindexed",4,"S6_array_or","0.484"
"N=1000 rel_unindexed",5,"S6_array_or","0.421"
"N=1000 rel_unindexed",6,"S6_array_or","0.444"
"N=1000 rel_unindexed",7,"S6_array_or","0.423"
"N=1000 rel_unindexed",1,"S5_array_and","0.293"
"N=1000 rel_unindexed",2,"S5_array_and","0.295"
"N=1000 rel_unindexed",3,"S5_array_and","0.294"
"N=1000 rel_unindexed",4,"S5_array_and","0.321"
"N=1000 rel_unindexed",5,"S5_array_and","0.295"
"N=1000 rel_unindexed",6,"S5_array_and","0.320"
"N=1000 rel_unindexed",7,"S5_array_and","0.294"
"N=1000 rel_unindexed",1,"S4_ts_range","0.151"
"N=1000 rel_unindexed",2,"S4_ts_range","0.127"
"N=1000 rel_unindexed",3,"S4_ts_range","0.125"
"N=1000 rel_unindexed",4,"S4_ts_range","0.151"
"N=1000 rel_unindexed",5,"S4_ts_range","0.126"
"N=1000 rel_unindexed",6,"S4_ts_range","0.168"
"N=1000 rel_unindexed",7,"S4_ts_range","0.125"
"N=1000 rel_unindexed",1,"S3_trgm_contains","0.625"
"N=1000 rel_unindexed",2,"S3_trgm_contains","0.629"
"N=1000 rel_unindexed",3,"S3_trgm_contains","0.600"
"N=1000 rel_unindexed",4,"S3_trgm_contains","0.602"
"N=1000 rel_unindexed",5,"S3_trgm_contains","0.634"
"N=1000 rel_unindexed",6,"S3_trgm_contains","0.628"
"N=1000 rel_unindexed",7,"S3_trgm_contains","0.630"
"N=1000 rel_unindexed",1,"S2_like_prefix","0.109"
"N=1000 rel_unindexed",2,"S2_like_prefix","0.109"
"N=1000 rel_unindexed",3,"S2_like_prefix","0.109"
"N=1000 rel_unindexed",4,"S2_like_prefix","0.109"
"N=1000 rel_unindexed",5,"S2_like_prefix","0.160"
"N=1000 rel_unindexed",6,"S2_like_prefix","0.109"
"N=1000 rel_unindexed",7,"S2_like_prefix","0.109"
"N=1000 rel_unindexed",1,"S1_expr_eq_num","0.216"
"N=1000 rel_unindexed",2,"S1_expr_eq_num","0.217"
"N=1000 rel_unindexed",3,"S1_expr_eq_num","0.217"
"N=1000 rel_unindexed",4,"S1_expr_eq_num","0.216"
"N=1000 rel_unindexed",5,"S1_expr_eq_num","0.225"
"N=1000 rel_unindexed",6,"S1_expr_eq_num","0.218"
"N=1000 rel_unindexed",7,"S1_expr_eq_num","0.216"
"N=1000 rel_unindexed",7,"S10_topn_order","0.120"
"N=1000 rel_unindexed",6,"S10_topn_order","0.121"
"N=1000 rel_unindexed",1,"S10_topn_order","0.118"
"N=1000 rel_unindexed",2,"S10_topn_order","0.120"
"N=1000 rel_unindexed",3,"S10_topn_order","0.121"
"N=1000 rel_unindexed",4,"S10_topn_order","0.121"
"N=1000 rel_unindexed",5,"S10_topn_order","0.146"
"N=1000 rel_indexed",1,"S9_or_keys","0.467"
"N=1000 rel_indexed",2,"S9_or_keys","0.300"
"N=1000 rel_indexed",3,"S9_or_keys","0.390"
"N=1000 rel_indexed",4,"S9_or_keys","0.237"
"N=1000 rel_indexed",5,"S9_or_keys","0.258"
"N=1000 rel_indexed",6,"S9_or_keys","0.238"
"N=1000 rel_indexed",7,"S9_or_keys","0.232"
"N=1000 rel_indexed",1,"S8_and3","0.007"
"N=1000 rel_indexed",2,"S8_and3","0.008"
"N=1000 rel_indexed",3,"S8_and3","0.008"
"N=1000 rel_indexed",4,"S8_and3","0.008"
"N=1000 rel_indexed",5,"S8_and3","0.008"
"N=1000 rel_indexed",6,"S8_and3","0.008"
"N=1000 rel_indexed",7,"S8_and3","0.008"
"N=1000 rel_indexed",1,"S7_and2","0.040"
"N=1000 rel_indexed",2,"S7_and2","0.044"
"N=1000 rel_indexed",3,"S7_and2","0.042"
"N=1000 rel_indexed",4,"S7_and2","0.043"
"N=1000 rel_indexed",5,"S7_and2","0.043"
"N=1000 rel_indexed",6,"S7_and2","0.042"
"N=1000 rel_indexed",7,"S7_and2","0.044"
"N=1000 rel_indexed",1,"S6_array_or","0.493"
"N=1000 rel_indexed",2,"S6_array_or","0.377"
"N=1000 rel_indexed",3,"S6_array_or","0.465"
"N=1000 rel_indexed",4,"S6_array_or","0.332"
"N=1000 rel_indexed",5,"S6_array_or","0.346"
"N=1000 rel_indexed",6,"S6_array_or","0.337"
"N=1000 rel_indexed",7,"S6_array_or","0.350"
"N=1000 rel_indexed",1,"S5_array_and","0.308"
"N=1000 rel_indexed",2,"S5_array_and","0.284"
"N=1000 rel_indexed",3,"S5_array_and","0.284"
"N=1000 rel_indexed",4,"S5_array_and","0.284"
"N=1000 rel_indexed",5,"S5_array_and","0.283"
"N=1000 rel_indexed",6,"S5_array_and","0.284"
"N=1000 rel_indexed",7,"S5_array_and","0.291"
"N=1000 rel_indexed",4,"S4_ts_range","0.044"
"N=1000 rel_indexed",5,"S4_ts_range","0.044"
"N=1000 rel_indexed",1,"S4_ts_range","0.041"
"N=1000 rel_indexed",2,"S4_ts_range","0.044"
"N=1000 rel_indexed",3,"S4_ts_range","0.044"
"N=1000 rel_indexed",6,"S4_ts_range","0.044"
"N=1000 rel_indexed",7,"S4_ts_range","0.044"
"N=1000 rel_indexed",1,"S3_trgm_contains","0.648"
"N=1000 rel_indexed",2,"S3_trgm_contains","0.623"
"N=1000 rel_indexed",3,"S3_trgm_contains","0.617"
"N=1000 rel_indexed",4,"S3_trgm_contains","0.587"
"N=1000 rel_indexed",5,"S3_trgm_contains","0.588"
"N=1000 rel_indexed",6,"S3_trgm_contains","0.617"
"N=1000 rel_indexed",7,"S3_trgm_contains","0.695"
"N=1000 rel_indexed",1,"S2_like_prefix","0.007"
"N=1000 rel_indexed",2,"S2_like_prefix","0.012"
"N=1000 rel_indexed",3,"S2_like_prefix","0.008"
"N=1000 rel_indexed",4,"S2_like_prefix","0.007"
"N=1000 rel_indexed",5,"S2_like_prefix","0.007"
"N=1000 rel_indexed",6,"S2_like_prefix","0.008"
"N=1000 rel_indexed",7,"S2_like_prefix","0.007"
"N=1000 rel_indexed",6,"S1_expr_eq_num","0.034"
"N=1000 rel_indexed",1,"S1_expr_eq_num","0.032"
"N=1000 rel_indexed",2,"S1_expr_eq_num","0.034"
"N=1000 rel_indexed",3,"S1_expr_eq_num","0.035"
"N=1000 rel_indexed",4,"S1_expr_eq_num","0.034"
"N=1000 rel_indexed",5,"S1_expr_eq_num","0.034"
"N=1000 rel_indexed",7,"S1_expr_eq_num","0.034"
"N=1000 rel_indexed",1,"S10_topn_order","0.044"
"N=1000 rel_indexed",2,"S10_topn_order","0.046"
"N=1000 rel_indexed",3,"S10_topn_order","0.045"
"N=1000 rel_indexed",4,"S10_topn_order","0.046"
"N=1000 rel_indexed",5,"S10_topn_order","0.045"
"N=1000 rel_indexed",6,"S10_topn_order","0.045"
"N=1000 rel_indexed",7,"S10_topn_order","0.047"
"N=1000 jsonb_unindexed",1,"S9_or_keys","0.648"
"N=1000 jsonb_unindexed",2,"S9_or_keys","0.659"
"N=1000 jsonb_unindexed",3,"S9_or_keys","0.702"
"N=1000 jsonb_unindexed",4,"S9_or_keys","1.158"
"N=1000 jsonb_unindexed",5,"S9_or_keys","0.757"
"N=1000 jsonb_unindexed",6,"S9_or_keys","0.725"
"N=1000 jsonb_unindexed",7,"S9_or_keys","0.700"
"N=1000 jsonb_unindexed",1,"S8_and3","0.423"
"N=1000 jsonb_unindexed",2,"S8_and3","0.466"
"N=1000 jsonb_unindexed",3,"S8_and3","0.466"
"N=1000 jsonb_unindexed",4,"S8_and3","0.426"
"N=1000 jsonb_unindexed",5,"S8_and3","0.544"
"N=1000 jsonb_unindexed",6,"S8_and3","0.479"
"N=1000 jsonb_unindexed",7,"S8_and3","0.422"
"N=1000 jsonb_unindexed",1,"S7_and2","0.372"
"N=1000 jsonb_unindexed",2,"S7_and2","0.445"
"N=1000 jsonb_unindexed",3,"S7_and2","0.403"
"N=1000 jsonb_unindexed",4,"S7_and2","0.448"
"N=1000 jsonb_unindexed",5,"S7_and2","0.379"
"N=1000 jsonb_unindexed",6,"S7_and2","0.378"
"N=1000 jsonb_unindexed",7,"S7_and2","0.457"
"N=1000 jsonb_unindexed",1,"S6_array_or","0.970"
"N=1000 jsonb_unindexed",2,"S6_array_or","0.810"
"N=1000 jsonb_unindexed",3,"S6_array_or","0.597"
"N=1000 jsonb_unindexed",4,"S6_array_or","0.903"
"N=1000 jsonb_unindexed",5,"S6_array_or","0.674"
"N=1000 jsonb_unindexed",6,"S6_array_or","0.685"
"N=1000 jsonb_unindexed",7,"S6_array_or","0.802"
"N=1000 jsonb_unindexed",1,"S5_array_and","0.396"
"N=1000 jsonb_unindexed",2,"S5_array_and","0.370"
"N=1000 jsonb_unindexed",3,"S5_array_and","0.372"
"N=1000 jsonb_unindexed",4,"S5_array_and","0.370"
"N=1000 jsonb_unindexed",5,"S5_array_and","0.372"
"N=1000 jsonb_unindexed",6,"S5_array_and","0.396"
"N=1000 jsonb_unindexed",7,"S5_array_and","0.370"
"N=1000 jsonb_unindexed",1,"S4_ts_range","0.743"
"N=1000 jsonb_unindexed",2,"S4_ts_range","0.703"
"N=1000 jsonb_unindexed",3,"S4_ts_range","0.704"
"N=1000 jsonb_unindexed",4,"S4_ts_range","0.727"
"N=1000 jsonb_unindexed",5,"S4_ts_range","0.743"
"N=1000 jsonb_unindexed",6,"S4_ts_range","0.708"
"N=1000 jsonb_unindexed",7,"S4_ts_range","0.747"
"N=1000 jsonb_unindexed",1,"S3_trgm_contains","0.779"
"N=1000 jsonb_unindexed",2,"S3_trgm_contains","0.791"
"N=1000 jsonb_unindexed",3,"S3_trgm_contains","0.795"
"N=1000 jsonb_unindexed",4,"S3_trgm_contains","0.767"
"N=1000 jsonb_unindexed",5,"S3_trgm_contains","0.776"
"N=1000 jsonb_unindexed",6,"S3_trgm_contains","0.772"
"N=1000 jsonb_unindexed",7,"S3_trgm_contains","0.777"
"N=1000 jsonb_unindexed",3,"S2_like_prefix","0.244"
"N=1000 jsonb_unindexed",1,"S2_like_prefix","0.215"
"N=1000 jsonb_unindexed",2,"S2_like_prefix","0.216"
"N=1000 jsonb_unindexed",4,"S2_like_prefix","0.215"
"N=1000 jsonb_unindexed",5,"S2_like_prefix","0.217"
"N=1000 jsonb_unindexed",6,"S2_like_prefix","0.217"
"N=1000 jsonb_unindexed",7,"S2_like_prefix","0.215"
"N=1000 jsonb_unindexed",1,"S1_expr_eq_num","0.269"
"N=1000 jsonb_unindexed",2,"S1_expr_eq_num","0.274"
"N=1000 jsonb_unindexed",3,"S1_expr_eq_num","0.273"
"N=1000 jsonb_unindexed",4,"S1_expr_eq_num","0.277"
"N=1000 jsonb_unindexed",5,"S1_expr_eq_num","0.273"
"N=1000 jsonb_unindexed",6,"S1_expr_eq_num","0.275"
"N=1000 jsonb_unindexed",7,"S1_expr_eq_num","0.273"
"N=1000 jsonb_unindexed",5,"S10_topn_order","0.319"
"N=1000 jsonb_unindexed",6,"S10_topn_order","0.341"
"N=1000 jsonb_unindexed",1,"S10_topn_order","0.321"
"N=1000 jsonb_unindexed",2,"S10_topn_order","0.363"
"N=1000 jsonb_unindexed",3,"S10_topn_order","0.319"
"N=1000 jsonb_unindexed",4,"S10_topn_order","0.350"
"N=1000 jsonb_unindexed",7,"S10_topn_order","0.328"
"N=1000 jsonb_indexed",1,"S9_or_keys","0.592"
"N=1000 jsonb_indexed",2,"S9_or_keys","0.570"
"N=1000 jsonb_indexed",3,"S9_or_keys","0.537"
"N=1000 jsonb_indexed",4,"S9_or_keys","0.579"
"N=1000 jsonb_indexed",5,"S9_or_keys","0.577"
"N=1000 jsonb_indexed",6,"S9_or_keys","0.557"
"N=1000 jsonb_indexed",7,"S9_or_keys","0.548"
"N=1000 jsonb_indexed",1,"S8_and3","0.462"
"N=1000 jsonb_indexed",2,"S8_and3","0.408"
"N=1000 jsonb_indexed",3,"S8_and3","0.741"
"N=1000 jsonb_indexed",4,"S8_and3","0.504"
"N=1000 jsonb_indexed",5,"S8_and3","0.437"
"N=1000 jsonb_indexed",6,"S8_and3","0.452"
"N=1000 jsonb_indexed",7,"S8_and3","0.408"
"N=1000 jsonb_indexed",7,"S7_and2","0.550"
"N=1000 jsonb_indexed",1,"S7_and2","0.365"
"N=1000 jsonb_indexed",2,"S7_and2","0.400"
"N=1000 jsonb_indexed",3,"S7_and2","0.771"
"N=1000 jsonb_indexed",4,"S7_and2","0.667"
"N=1000 jsonb_indexed",5,"S7_and2","0.478"
"N=1000 jsonb_indexed",6,"S7_and2","0.521"
"N=1000 jsonb_indexed",1,"S6_array_or","1.066"
"N=1000 jsonb_indexed",2,"S6_array_or","1.153"
"N=1000 jsonb_indexed",3,"S6_array_or","1.270"
"N=1000 jsonb_indexed",4,"S6_array_or","1.817"
"N=1000 jsonb_indexed",5,"S6_array_or","0.946"
"N=1000 jsonb_indexed",6,"S6_array_or","1.046"
"N=1000 jsonb_indexed",7,"S6_array_or","1.063"
"N=1000 jsonb_indexed",2,"S5_array_and","0.216"
"N=1000 jsonb_indexed",1,"S5_array_and","0.246"
"N=1000 jsonb_indexed",3,"S5_array_and","0.215"
"N=1000 jsonb_indexed",4,"S5_array_and","0.227"
"N=1000 jsonb_indexed",5,"S5_array_and","0.215"
"N=1000 jsonb_indexed",6,"S5_array_and","0.217"
"N=1000 jsonb_indexed",7,"S5_array_and","0.215"
"N=1000 jsonb_indexed",1,"S4_ts_range","0.081"
"N=1000 jsonb_indexed",2,"S4_ts_range","0.076"
"N=1000 jsonb_indexed",3,"S4_ts_range","0.076"
"N=1000 jsonb_indexed",4,"S4_ts_range","0.080"
"N=1000 jsonb_indexed",5,"S4_ts_range","0.075"
"N=1000 jsonb_indexed",6,"S4_ts_range","0.076"
"N=1000 jsonb_indexed",7,"S4_ts_range","0.078"
"N=1000 jsonb_indexed",4,"S3_trgm_contains","0.450"
"N=1000 jsonb_indexed",2,"S3_trgm_contains","0.479"
"N=1000 jsonb_indexed",3,"S3_trgm_contains","0.454"
"N=1000 jsonb_indexed",1,"S3_trgm_contains","0.472"
"N=1000 jsonb_indexed",5,"S3_trgm_contains","0.607"
"N=1000 jsonb_indexed",6,"S3_trgm_contains","0.477"
"N=1000 jsonb_indexed",7,"S3_trgm_contains","0.451"
"N=1000 jsonb_indexed",1,"S2_like_prefix","0.007"
"N=1000 jsonb_indexed",2,"S2_like_prefix","0.008"
"N=1000 jsonb_indexed",3,"S2_like_prefix","0.008"
"N=1000 jsonb_indexed",4,"S2_like_prefix","0.007"
"N=1000 jsonb_indexed",5,"S2_like_prefix","0.008"
"N=1000 jsonb_indexed",6,"S2_like_prefix","0.008"
"N=1000 jsonb_indexed",7,"S2_like_prefix","0.008"
"N=1000 jsonb_indexed",1,"S1_expr_eq_num","0.045"
"N=1000 jsonb_indexed",2,"S1_expr_eq_num","0.045"
"N=1000 jsonb_indexed",3,"S1_expr_eq_num","0.043"
"N=1000 jsonb_indexed",4,"S1_expr_eq_num","0.074"
"N=1000 jsonb_indexed",5,"S1_expr_eq_num","0.044"
"N=1000 jsonb_indexed",6,"S1_expr_eq_num","0.044"
"N=1000 jsonb_indexed",7,"S1_expr_eq_num","0.093"
"N=1000 jsonb_indexed",1,"S10_topn_order","0.103"
"N=1000 jsonb_indexed",2,"S10_topn_order","0.082"
"N=1000 jsonb_indexed",3,"S10_topn_order","0.080"
"N=1000 jsonb_indexed",4,"S10_topn_order","0.083"
"N=1000 jsonb_indexed",5,"S10_topn_order","0.085"
"N=1000 jsonb_indexed",6,"S10_topn_order","0.089"
"N=1000 jsonb_indexed",7,"S10_topn_order","0.086"
"N=10000 rel_unindexed",7,"S9_or_keys","2.413"
"N=10000 rel_unindexed",6,"S9_or_keys","2.449"
"N=10000 rel_unindexed",5,"S9_or_keys","2.430"
"N=10000 rel_unindexed",4,"S9_or_keys","2.519"
"N=10000 rel_unindexed",3,"S9_or_keys","2.488"
"N=10000 rel_unindexed",2,"S9_or_keys","2.410"
"N=10000 rel_unindexed",1,"S9_or_keys","2.452"
"N=10000 rel_unindexed",1,"S8_and3","3.767"
"N=10000 rel_unindexed",2,"S8_and3","4.088"
"N=10000 rel_unindexed",3,"S8_and3","3.334"
"N=10000 rel_unindexed",4,"S8_and3","3.099"
"N=10000 rel_unindexed",5,"S8_and3","4.246"
"N=10000 rel_unindexed",6,"S8_and3","3.637"
"N=10000 rel_unindexed",7,"S8_and3","4.161"
"N=10000 rel_unindexed",1,"S7_and2","2.232"
"N=10000 rel_unindexed",2,"S7_and2","2.692"
"N=10000 rel_unindexed",3,"S7_and2","2.161"
"N=10000 rel_unindexed",4,"S7_and2","2.035"
"N=10000 rel_unindexed",5,"S7_and2","3.108"
"N=10000 rel_unindexed",6,"S7_and2","2.263"
"N=10000 rel_unindexed",7,"S7_and2","2.279"
"N=10000 rel_unindexed",1,"S6_array_or","3.263"
"N=10000 rel_unindexed",2,"S6_array_or","3.255"
"N=10000 rel_unindexed",3,"S6_array_or","3.260"
"N=10000 rel_unindexed",4,"S6_array_or","3.257"
"N=10000 rel_unindexed",5,"S6_array_or","3.262"
"N=10000 rel_unindexed",6,"S6_array_or","3.563"
"N=10000 rel_unindexed",7,"S6_array_or","3.316"
"N=10000 rel_unindexed",1,"S5_array_and","4.811"
"N=10000 rel_unindexed",2,"S5_array_and","5.575"
"N=10000 rel_unindexed",3,"S5_array_and","6.354"
"N=10000 rel_unindexed",4,"S5_array_and","6.064"
"N=10000 rel_unindexed",5,"S5_array_and","6.038"
"N=10000 rel_unindexed",6,"S5_array_and","4.664"
"N=10000 rel_unindexed",7,"S5_array_and","4.893"
"N=10000 rel_unindexed",1,"S4_ts_range","3.082"
"N=10000 rel_unindexed",2,"S4_ts_range","3.685"
"N=10000 rel_unindexed",3,"S4_ts_range","4.350"
"N=10000 rel_unindexed",4,"S4_ts_range","3.356"
"N=10000 rel_unindexed",5,"S4_ts_range","3.113"
"N=10000 rel_unindexed",6,"S4_ts_range","4.362"
"N=10000 rel_unindexed",7,"S4_ts_range","2.647"
"N=10000 rel_unindexed",1,"S3_trgm_contains","7.668"
"N=10000 rel_unindexed",2,"S3_trgm_contains","7.583"
"N=10000 rel_unindexed",3,"S3_trgm_contains","7.573"
"N=10000 rel_unindexed",4,"S3_trgm_contains","7.707"
"N=10000 rel_unindexed",5,"S3_trgm_contains","7.774"
"N=10000 rel_unindexed",6,"S3_trgm_contains","7.250"
"N=10000 rel_unindexed",7,"S3_trgm_contains","6.822"
"N=10000 rel_unindexed",1,"S2_like_prefix","2.127"
"N=10000 rel_unindexed",2,"S2_like_prefix","3.166"
"N=10000 rel_unindexed",3,"S2_like_prefix","2.364"
"N=10000 rel_unindexed",4,"S2_like_prefix","2.141"
"N=10000 rel_unindexed",5,"S2_like_prefix","2.030"
"N=10000 rel_unindexed",6,"S2_like_prefix","1.993"
"N=10000 rel_unindexed",7,"S2_like_prefix","2.019"
"N=10000 rel_unindexed",1,"S1_expr_eq_num","2.654"
"N=10000 rel_unindexed",2,"S1_expr_eq_num","2.851"
"N=10000 rel_unindexed",3,"S1_expr_eq_num","2.662"
"N=10000 rel_unindexed",4,"S1_expr_eq_num","2.612"
"N=10000 rel_unindexed",5,"S1_expr_eq_num","2.619"
"N=10000 rel_unindexed",6,"S1_expr_eq_num","2.630"
"N=10000 rel_unindexed",7,"S1_expr_eq_num","2.849"
"N=10000 rel_unindexed",7,"S10_topn_order","1.241"
"N=10000 rel_unindexed",6,"S10_topn_order","1.291"
"N=10000 rel_unindexed",5,"S10_topn_order","1.309"
"N=10000 rel_unindexed",4,"S10_topn_order","1.375"
"N=10000 rel_unindexed",3,"S10_topn_order","1.422"
"N=10000 rel_unindexed",2,"S10_topn_order","1.304"
"N=10000 rel_unindexed",1,"S10_topn_order","1.354"
"N=10000 rel_indexed",5,"S9_or_keys","0.932"
"N=10000 rel_indexed",1,"S9_or_keys","0.931"
"N=10000 rel_indexed",2,"S9_or_keys","0.931"
"N=10000 rel_indexed",3,"S9_or_keys","0.967"
"N=10000 rel_indexed",4,"S9_or_keys","0.911"
"N=10000 rel_indexed",6,"S9_or_keys","0.929"
"N=10000 rel_indexed",7,"S9_or_keys","0.930"
"N=10000 rel_indexed",1,"S8_and3","0.010"
"N=10000 rel_indexed",2,"S8_and3","0.011"
"N=10000 rel_indexed",3,"S8_and3","0.010"
"N=10000 rel_indexed",4,"S8_and3","0.010"
"N=10000 rel_indexed",5,"S8_and3","0.010"
"N=10000 rel_indexed",6,"S8_and3","0.010"
"N=10000 rel_indexed",7,"S8_and3","0.009"
"N=10000 rel_indexed",1,"S7_and2","0.324"
"N=10000 rel_indexed",2,"S7_and2","0.328"
"N=10000 rel_indexed",3,"S7_and2","0.356"
"N=10000 rel_indexed",4,"S7_and2","0.335"
"N=10000 rel_indexed",5,"S7_and2","0.328"
"N=10000 rel_indexed",6,"S7_and2","0.446"
"N=10000 rel_indexed",7,"S7_and2","0.326"
"N=10000 rel_indexed",1,"S6_array_or","3.693"
"N=10000 rel_indexed",2,"S6_array_or","3.706"
"N=10000 rel_indexed",3,"S6_array_or","3.920"
"N=10000 rel_indexed",4,"S6_array_or","3.375"
"N=10000 rel_indexed",5,"S6_array_or","3.184"
"N=10000 rel_indexed",6,"S6_array_or","3.176"
"N=10000 rel_indexed",7,"S6_array_or","3.162"
"N=10000 rel_indexed",1,"S5_array_and","6.608"
"N=10000 rel_indexed",2,"S5_array_and","6.708"
"N=10000 rel_indexed",3,"S5_array_and","5.888"
"N=10000 rel_indexed",4,"S5_array_and","6.614"
"N=10000 rel_indexed",5,"S5_array_and","5.681"
"N=10000 rel_indexed",6,"S5_array_and","5.604"
"N=10000 rel_indexed",7,"S5_array_and","5.220"
"N=10000 rel_indexed",1,"S4_ts_range","0.450"
"N=10000 rel_indexed",2,"S4_ts_range","0.490"
"N=10000 rel_indexed",3,"S4_ts_range","0.530"
"N=10000 rel_indexed",4,"S4_ts_range","0.524"
